ID,Original.Elo,Percolance.Length4,Percolance.Length2,Compete.typeD,Compete.typeP,Steepness.typeD,Steepness.typeP,DS.elo.p,DS.elo.d,BI.elo,k.default,K.modified,Random,ISI.13
sash,1,1,1,1,1,1,1,1,1,1,1,1,1,2
socr,2,15,6,12,13,13,12,12,13,10,2,7,13,18
larr,NA,3,4,11,10,12,13,13,12,4,3,8,3,4
scar,NA,2,3,3,3,3,3,3,3,2,4,2,2,5
panc,3,5,5,2,2,2,2,2,2,6,5,4,4,1
flyn,4,10,12,5,5,10,9,9,10,5,6,3,6,8
swaz,12,4,2,24,24,22,22,22,22,7,7,20,7,14
fay,NA,9,11,14,15,8,11,11,8,3,8,5,9,25
tyle,NA,7,10,8,6,9,8,8,9,9,9,10,8,3
spoc,6,18,13,10,11,11,10,10,11,11,10,9,14,16
sarg,5,24,33,33,35,24,25,25,24,14,11,18,16,47
cola,11,26,38,29,25,29,24,24,29,23,12,17,26,32
raje,NA,36,28,23,21,30,29,29,30,26,13,19,32,22
flo,NA,30,29,39,36,33,30,30,33,21,14,32,34,33
puck,NA,35,37,30,45,36,38,38,36,25,15,30,36,38
lucy,8,14,15,6,7,5,5,5,5,13,16,12,10,23
mori,NA,6,7,4,4,7,7,7,7,16,17,14,12,6
saff,7,8,8,9,9,6,6,6,6,8,18,6,11,19
gimp,NA,19,24,16,16,17,16,16,17,19,19,16,22,21
ring,NA,13,23,13,12,15,15,15,15,18,20,15,19,12
talu,NA,16,19,22,19,21,19,19,21,22,21,26,25,27
lore,15,40,41,35,39,35,36,36,35,32,22,31,35,39
fent,10,25,30,19,18,19,20,20,19,15,23,13,20,24
coco,9,12,14,7,8,4,4,4,4,12,24,11,5,20
gizm,16,39,39,37,38,44,44,44,44,30,25,23,39,31
max,NA,17,17,20,23,20,21,21,20,34,26,25,18,9
funk,19,37,40,45,43,47,46,46,47,36,27,24,38,42
razo,18,43,36,30,30,48,42,42,48,37,28,21,44,17
egon,13,48,48,38,37,43,41,41,43,28,29,22,40,50
schm,NA,28,21,18,20,23,27,27,23,40,30,35,24,15
cura,21,54,60,26,29,27,31,31,27,29,31,34,31,57
holl,17,22,20,21,22,16,17,17,16,31,32,37,21,28
bone,NA,11,9,17,17,18,18,18,18,17,33,27,17,10
magn,23,42,32,27,27,32,34,34,32,35,34,28,30,13
phoe,14,21,18,15,14,14,14,14,14,20,35,36,15,26
xavi,22,29,22,25,26,25,26,26,25,27,36,33,27,7
hect,20,46,45,51,49,52,50,50,52,42,37,40,46,44
lego,NA,20,16,28,28,28,32,32,28,39,38,39,28,11
cind,24,41,43,43,42,53,51,51,53,33,39,29,42,40
omni,29,47,46,59,58,58,57,57,58,53,40,53,56,45
fina,31,44,47,53,50,57,52,52,57,48,41,44,45,41
swee,25,23,25,31,31,26,23,23,26,24,42,38,23,30
pean,35,51,51,56,56,55,56,56,55,54,43,56,51,51
caba,28,50,50,41,44,38,43,43,38,47,44,42,50,48
home,30,49,49,46,47,46,47,47,46,49,45,48,48,46
wokb,NA,33,34,47,41,42,37,37,42,44,46,45,43,37
ging,NA,32,26,36,33,31,28,28,31,38,47,43,41,35
guge,32,56,55,52,55,51,54,54,51,57,48,57,57,54
dori,27,31,31,44,40,41,39,39,41,41,49,41,37,34
uthe,NA,38,42,32,32,39,40,40,39,43,50,47,33,36
oreo,26,45,44,55,53,50,48,48,50,45,51,50,47,43
wolo,38,57,56,58,59,61,61,61,61,56,52,55,53,55
carm,NA,27,27,34,34,34,33,33,34,46,53,49,29,29
gats,37,53,53,57,57,56,55,55,56,55,54,59,55,53
cact,34,52,52,60,60,59,59,59,59,52,55,51,54,52
octo,40,58,57,50,54,54,58,58,54,59,56,54,60,56
daen,36,62,61,62,62,62,62,62,62,60,57,61,59,61
wood,39,60,58,49,51,49,53,53,49,61,58,58,61,58
floinf15,NA,59,62,40,46,37,45,45,37,58,59,46,58,62
ocea,NA,34,35,54,48,40,35,35,40,51,60,60,49,49
pino,33,55,54,48,52,45,49,49,45,50,61,52,52,59
dire,41,61,59,61,61,60,60,60,60,62,62,62,62,60